index	job_link	job_title	job_company	job_industry	job_update	job_location	job_exp	job_edu	job_brief	job_applicants	job_tags_salary	job_tags_tse_otc	job_tags_fc	job_tags_emp	job_tags_remote	job_tags_metro
1	//www.104.com.tw/job/7cdon?jobsource=jolist_d_relevance	資料工程師(Data Engineer)	霖園關係企業_神坊資訊股份有限公司	網際網路相關業	4/07	台北市大安區	2年以上	大學	【Job Description】1. Design, implement and deploy data pipeline2. Ensure the accuracy, completeness and timeliness of data	0~5人應徵	待遇面議			員工130人		
2	//www.104.com.tw/job/7xfjk?jobsource=jolist_d_relevance	資料工程師Data Engineer	龍星企業股份有限公司	綜合商品批發代理業	4/11	台北市南港區	2年以上	大學	【工作內容】名列台灣前百大雜貨貿易出口商的龍星國際集團，成立至今超過半世紀，在香港、上海、東莞、美國等地均設有分公司，出口國家遍布全球，無論美洲、澳洲及歐、亞、非，都能看見龍星的身影。集團貿易部門有員工250人，工廠員工超過3,000人，與超過1000家台灣、大陸及東南亞供應商合作，是一個集合品牌、貿易、代理、生產、設計研發、銷售、產品檢驗及後勤服務的綜合貿易集團。 龍星企業與時俱進，持續加速集團數位轉型，是台灣貿易業中領先的數位化模範生！龍星企業重視教育訓練及個人發展，適合主動積極，獨立思考，追求自我實現的你！ 我們正在尋找對國際貿易/跨境電商有熱情之資料應用人才，如果你熟悉資料庫管理、數據處理與分析，歡迎加入我們，相關職務需求如下： 【職務內容】 1.釐清內部客戶需求、課題與其期待之商業智慧需求。依據商業需求完成資料庫設計、資料正規化與資料庫佈署。 2.負責設計、開發、維護和優化數據處理和分析系統，以支持資料交換、數據分析、機器學習和商業決策等業務需求。 3.資料庫與資料倉儲維護與優化 -內外部資料整合及收集 -資料庫預存程序 (SP) 管理及效能調整 4.資料清理流程維護及優化 -工作流程規劃、建置及維護 -.具 MS BI (MS SQL/Power BI) 使用經驗者優先綠取 5.資料分析協作與資料模型產出 -與內部客戶共同梳理商業邏輯 -Crystal Report、內部儀表板、Power BI等後端資料模型維護 6.確保數據治理和數據一致性，並與跨國團隊密切合作，制定數據平臺架構規劃與支援 7.學習國際貿易、跨境電商產業 Know-how，處理多面向的資料來源/結構，並運用 SQL、Python、Java 等資料處理技術語言進行資料底層架構的打造。 8.彙整資料處理或分析結果，並製作簡報進行報告。 9.依據管理端之作業需求進行管理後台之系統分析、規劃與設計。 10.其他主管交辦任務	6~10人應徵	待遇面議			員工100人		距捷運昆陽站約500公尺
3	//www.104.com.tw/job/7syqk?jobsource=jolist_d_relevance	GCP Data Engineer	艾威科軟體股份有限公司	電腦軟體服務業	4/11	台北市中山區	經歷不拘	大學	試。職務相關加分條件:1.具備GCP Data Engineer認證2.具備SAP 相關經驗3.具備SAP BW\HANA 資料倉儲相關實作經驗4.具備Machine Learning相關實作經驗	0~5人應徵	待遇面議			員工20人		距捷運南京復興站約230公尺
4	//www.104.com.tw/job/7nn2k?jobsource=jolist_d_relevance	數據工程師 Data Engineer (Junior) - 數據科技(數數發中心, DDT)	國泰金控_國泰金融控股股份有限公司	金融控股業	4/06	台北市信義區	1年以上	大學	我們是國泰金控-數數發-數據科技部內堅實的工程師團隊，我們團隊正在尋找數據工程菁英，歡迎有相關工作經驗的朋友挑戰！你將有機會與頂尖人才共事，協助打造和優化數據科技平台環境，進而提升集團整體大數據技術運用能力，創造前所未有的可能。[我們的團隊文化]- 團隊特色：我們專注在數據創新、商業分析、資料探索。重視團隊橫向溝通，樂於相互學習也樂於分享，沒有職級之分，主動解決問題。- 團隊目標：配合數位科技發展目標，開發可落地之新興技術或平台，協助提升公司整體數據技術運用能力。- 團隊合作：團隊合作上，採取彈性高的團隊合作模式，讓創新與成果導向並重發展；個人發展上，開放在分析與技術領域深入成長的平衡發展。[主要任務]1. 金融數據盤點並執行現有 ETL 自動化框架導入資料庫2. 資料 ETL 流程自動化規劃、設計、開發與監控維護3. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲4. 學習與研究各式資料科學技術5. 參與金控專案團隊，與金融、行銷、集團專業人才一同合作推展各項數據專案/產品[必要條件]1. 具備團隊合作的態度與愛好自我學習探索及分享的精神2. 具備 Python 程式語言開發經驗3. 具備 SQL 基礎使用經驗[加分條件]1. 有 Hadoop 相關經驗2. 對金融產業數據有興趣為佳3. 有數據流程設計經驗者佳	6~10人應徵	待遇面議	上市上櫃		員工400人		距捷運市政府站約430公尺
5	//www.104.com.tw/job/7u8qk?jobsource=jolist_d_relevance	【採線上面談】Data Engineer 資料工程師	新加坡商鈦坦科技股份有限公司台灣分公司	電腦軟體服務業	4/12	台北市南港區	經歷不拘	專科	【Job Responsabilities】・Create and maintain optimal data pipeline architecture・Identify, design, and implement internal	11~30人應徵	月薪50,000~90,000元		外商公司	員工300人		距捷運南港軟體園區站約460公尺
6	//www.104.com.tw/job/7jw2n?jobsource=jolist_d_relevance	Data Engineer	街口電子支付股份有限公司	網際網路相關業	4/13	台北市松山區	2年以上	大學	◆THE ROLE & THE TEAM As a Data Engineer in JKOPay, you will be responsible for processing JKOPay’s online transaction data	0~5人應徵	待遇面議			員工190人		距捷運南京復興站約380公尺
7	//www.104.com.tw/job/7jhvb?jobsource=jolist_d_relevance	Data Engineer	優必達台灣有限公司	電腦軟體服務業	4/13	台北市松山區	經歷不拘	大學	DESCRIPTIONUbitus is seeking an enthusiastic and aspiring big data engineer with “can-do” and “eager-to-learn” attitude	11~30人應徵	待遇面議			員工100人		距捷運南京復興站約110公尺
8	//www.104.com.tw/job/7e02n?jobsource=jolist_d_relevance	Data Engineer資料工程師(Data Team)	生活市集_創業家兄弟股份有限公司	網際網路相關業	4/10	台北市南港區	1年以上	大學	資源，如果你對高流量的電商網站有興趣，想在一個充滿挑戰與成長性的環境開發，都歡迎你加入我們，共同挑戰電商市場。【工作內容】負責處理Data相關工程議題，包含Data pipeline與資料分析。同時與Data Scientist和PM協作，	11~30人應徵	待遇面議			員工130人		距捷運南港軟體園區站約330公尺
9	//www.104.com.tw/job/7xnwv?jobsource=jolist_d_relevance	Data Engineer	台灣聯想環球科技股份有限公司	電腦及其週邊設備製造業	4/07	台北市南港區	經歷不拘	大學	What You'll DoThe successful candidate will have a key role in designing and developing a strategic data lake that will	11~30人應徵	待遇面議		外商公司	員工600人		距捷運南港展覽館站約210公尺
10	//www.104.com.tw/job/7y93p?jobsource=jolist_d_relevance	資深數據工程師	阿物科技股份有限公司	電腦軟體服務業	4/11	台北市松山區	5年以上	大學	、Git、Docker、Shell Script6.熟悉資料庫相關 (關聯式、BigQuery、NoSQL 擇一)7.熟悉 Text Mining / Data Mining (使用工具可，需瞭解算法)8.熟悉 ETL & API	6~10人應徵	待遇面議			員工170人	遠端工作	距捷運中山國中站約500公尺
